SPECIESCODE,SPECIESCOMMONNAME
5706010201,ATLANTIC BRIEF SQUID
6177010102,PINK SHRIMP
6177010201,ROUGHNECK SHRIMP
6186020201,SHAMEFACED CRAB
6187010901,LONGNOSE SPIDER CRAB
6188030108,ATLANTIC ROCK CRAB
6189010301,BLUE CRAB
6189010302,LESSER BLUE CRAB
6189010502,LADY CRAB
6189010503,COARSEHAND LADY CRAB
6189010601,IRIDESCENT SWIMMING CRAB
6189010604,BLOTCHED SWIMMING CRAB
6189024201,SAY MUD CRAB
6191010101,MANTIS SHRIMP
8713050103,SOUTHERN STINGRAY
8713070301,COWNOSE RAY
8747010701,ATLANTIC THREAD HERRING
8747020202,BAY ANCHOVY
8826020103,LEOPARD SEAROBIN
8835250101,BLUEFISH
8835440401,SPOT
8835440601,SOUTHERN KINGFISH
8850030502,SPANISH MACKEREL
8857030109,SPOTTED WHIFF
8857030201,FRINGED FLOUNDER
8858020101,BLACKCHEEK TONGUEFISH
8858030101,HOGCHOKER
6177040101,ROCK SHRIMP
6187010902,PORTLY SPIDER CRAB
8713040113,CLEARNOSE SKATE
8747020201,STRIPED ANCHOVY
8791031002,SPOTTED HAKE
8835440103,SILVER SEATROUT
8835441001,STAR DRUM
8842010201,FEATHER BLENNY
8851030103,BUTTERFISH
8857030304,SOUTHERN FLOUNDER
8857030401,WINDOWPANE
8857030506,OCELLATED FLOUNDER
6177010101,NORTHERN BROWN SHRIMP
6177010103,WHITE SHRIMP
6183060232,GRAY HERMIT CRAB
8747010401,ATLANTIC MENHADEN
8835440104,WEAKFISH
8835440602,GULF KINGFISH
6189021301,FLORIDA STONE CRAB
8835440501,BANDED DRUM
8857030301,SUMMER FLOUNDER
8861010201,NORTHERN PUFFER
6191010103,LESSER MANTIS SHRIMP
8826020118,BLACKWING SEAROBIN
8861030101,STRIPED BURRFISH
6186020101,FLAME BOX CRAB
8747020205,DUSKY ANCHOVY
8783010108,ATLANTIC MIDSHIPMAN
8805020201,ROUGH SLIVERSIDE
8832010101,FLYING GURNARD
8713050104,ROUGHTAIL STINGRAY
8762020101,INSHORE LIZARDFISH
8835021002,SAND PERCH
6177040104,NOTCHED TIDAL ROCK SHRIMP
8708020401,SMOOTH DOGFISH
8792010602,BLOTCHED CUSK-EEL
8826010606,SMOOTHHEAD SCORPIONFISH
8826020104,BIGHEAD SEAROBIN
5708010202,COMMON OCTOPUS
6185020301,HAIRY SPONGE CRAB
6189021403,SPINEBACK HAIRY CRAB
8747011001,SPANISH SARDINE
8762020401,SNAKEFISH
8858020110,SPOTTAIL TONGUEFISH
8860020101,ORANGE FILEFISH
6183060239,PALMATE HERMIT CRAB
6183160501,GIANT HERMIT
8792010701,POLKA-DOT CUSK-EEL
8857030604,TWOSPOT FLOUNDER
8857031303,DUSKY FLOUNDER
8860020703,PLANEHEAD FILEFISH
6185020103,SPINY SHELLBACK CRAB
6186030104,MOTTLED PURSE CRAB
6187012101,SPONGY DECORATOR CRAB
6187012506,CHANNEL CLINGING CRAB
8713070101,SPOTTED EAGLE RAY
8741120101,CONGER EEL
8791031006,CAROLINA HAKE
8820020201,LINED SEAHORSE
8835020301,BLACK SEA BASS
8835020304,BANK SEA BASS
8835281202,ROUND SCAD
8840020000,SMILERS
8847010602,SEABOARD GOBY
8857030110,BAY WHIFF
8857030302,GULF FLOUNDER
8860020201,GRAY TRIGGERFISH
8860030201,SCRAWLED COWFISH
6187011401,INFLATED SPINY CRAB
8792010613,STRIPED CUSK-EEL
8791031007,SOUTHERN HAKE
8835430201,PINFISH
8835440301,SILVER PERCH
8840140102,SOUTHERN STARGAZER
8850020201,ATLANTIC CUTLASSFISH
8851030102,NORTHERN HARVESTFISH
6182020102,CHACE SLIPPER LOBSTER
6187011701,YELLOWLINE ARROW CRAB
9002040101,LOGGERHEAD
8713050202,SMOOTH BUTTERFLY RAY
6189010101,SPECKLED SWIMMING CRAB
8826020101,NORTHERN SEAROBIN
8835400201,PIGFISH
8835440701,ATLANTIC CROAKER
8835440603,NORTHERN KINGFISH
8787020101,SARGASSUMFISH
8708020502,BULL SHARK
8711010102,SAND DEVIL
8835520000,SPADEFISHES
8835520101,ATLANTIC SPADEFISH
6179220103,SEVENSPINE BAY SHRIMP
8820020104,CHAIN PIPEFISH
8826020102,STRIPED SEAROBIN
8840140101,NORTHERN STARGAZER
8835430301,SHEEPSHEAD
8741131003,PALESPOTTED EEL
8713070201,BULLNOSE RAY
8835390100,MOJARRITAS
8835450402,DWARF GOATFISH
8847010601,NAKED GOBY
6183120501,STRIPED PORCELAIN CRAB
8835280804,BANDED RUDDERFISH
8835022309,BELTED SANDFISH
8708020301,ATLANTIC SHARPNOSE SHARK
8713050106,BLUNTNOSE STINGRAY
8777180100,HARDHEAD CATFISH
8708030101,BONNETHEAD
8777020602,WHITE CATFISH
8835280401,ATLANTIC BUMPER
8835430505,WHITEBONE PORGY
8837010103,GUAGUANCHE
6189010304,SHELLIGS
8777180101,GAFFTOPSAIL CATFISH
8713020101,ATLANTIC GUITARFISH
8835280306,BLUE RUNNER
8850030501,KING MACKEREL
6191030102,DARK-BANDED MANTIS SHRIMP
6189020801,ATLANTIC MUD CRAB
8747010601,ROUND HERRING
8857030306,BRAOD FLOUNDER
6183060230,LONGWRIST HERMIT
8835400101,TOMTATE
6186020105,NODOSE BOXCRAB
8835280102,ROUGH SCAD
8858030301,NAKED SOLE
8850030202,ATLANTIC BONITO
8835430401,SPOTTAIL PINFISH
8835441206,CUBBYU
8835360501,VERMILION SNAPPER
8713050105,ATLANTIC STINGRAY
8783010201,OYSTER TOADFISH
8857030205,SHELF FLOUNDER
6183120104,BANDED PORCELAIN CRAB
8842010501,CRESTED BLENNY
8803020201,ATLANTIC NEEDLEFISH
8835441202,JACKKNIFE-FISH
8835030204,WHITESPOTTED SOAPFISH
8783010203,LEOPARD TOADFISH
8835260101,COBIA
6187020102,ROUGH ELBOW CRAB
8835280705,ATLANTIC MOONFISH
8835170102,GLASSEYE SNAPPER
8826020113,BANDTAIL SEAROBIN
8835270201,SHARKSUCKER
6187011801,FALSE ARROW CRAB
8842010202,FRECKLED BLENNY
8850030301,ATLANTIC CHUB MACKEREL
8708030103,SCALLOPED HAMMERHEAD
8826010605,BARBFISH
6191010401,UNNAMED MANTIS SHRIMP
6183130201,BEACH MOLE CRAB
8826020117,BLUESPOTTED SEAROBIN
8835020501,GAG
8835400102,WHITE GRUNT
8861010208,SOUTHERN PUFFER
8835280301,YELLOW JACK
6179140602,SPECKLED SNAPPING SHRIMP
8835280901,FLORIDA POMPANO
8835280202,THREADFIN
6187011902,SHORTFINGER NECK CRAB
8835280701,LOOKDOWN
8835280601,BIGEYE SCAD
8861010101,SMOOTH PUFFER
8835360112,LANE SNAPPER
6189010602,SARGASSUM SWIMMING CRAB
8708020504,BLACKNOSE SHARK
8835441101,SAND DRUM
8839010802,PEARLY RAZORFISH
8839010702,SLIPPERY DICK
8835360107,RED SNAPPER
8835020305,ROCK SEA BASS
6179140102,GREEN SNAPPING SHRIMP
8707030101,SAND TIGER
8713050201,SPINY BUTTERFLY RAY
8835280303,CREVALLE JACK
8820020109,BULL PIPEFISH
6179161101,PEPPERMINT SHRIMP
6187012102,FLORIDA DECORATOR CRAB
6187012503,
6189021401,PLUMED HAIRY CRAB
8839010703,PAINTED WRASSE
6177010701,SEABOB
8835440901,RED DRUM
8839010101,TAUTOG
8835440801,BLACK DRUM
8713120101,LESSER ELECTRIC RAY
8747010803,SCALED SARDINE
8787040105,ROUGHBACK BATFISH
8747010404,YELLOWFIN MENHADEN
8787040106,POLKA-DOT BATFISH
9002040401,KEMP'S RIDLEY SEA TURTLE
8708020503,SANDBAR SHARK
6183120502,SPOTTED PORCELAIN CRAB
8820020103,NORTHERN PIPEFISH
8707040401,THRESHER SHARK
8747010102,BLUEBACK HERRING
6179140105,STRIPED SNAPPING SHRIMP
6187011003,UNNAMED CRAB
8747010502,THREADFIN SHAD
8835280501,LEATHERJACKET
8842012501,SEAWEED BLENNY
8708020501,DUSKY SHARK
6189020601,SMOOTH MUD CRAB
6189020901,HARRIS MUD CRAB
8708020507,BLACKTIP SHARK
6186020102,YELLOW BOX CRAB
8787040110,PALEFIN BATFISH
8741131001,SHRIMP EEL
8787020202,OCELLATED FROGFISH
8738010101,LADYFISH
8713080202,DEVIL RAY
8708020531,FINETOOTH SHARK
8836010102,WHITE MULLET
8847010503,HIGHFIN GOBY
8741130802,SPECKLED WORM EEL
6187014501,CHANNELNOSE SPIDER CRAB
6189021201,BEADED MUD CRAB
6187011903,LONGFINGER NECK CRAB
6187012501,CORAL CLINGING CRAB
6187011301,CRYPTIC TEARDROP CRAB
6185020101,GRANULATE SHELLBACK CRAB
8784010102,SKILLETFISH
6183160201,THINSTRIPE HERMIT
8710010201,SPINY DOGFISH
8835380101,TRIPLETAIL
8835440102,SPOTTED SEATROUT
8835280308,BAR JACK
6189050402,CAROLINIAN SQUAREBACK CR
9002040201,GREEN SEA TURTLE
8707100101,NURSE SHARK
6186020104,LUMPY BOX CRAB
9002050101,PACIFIC LEATHERBACK TURT
8836010101,STRIPED MULLET
8729010105,ATLANTIC STURGEON
6189022201,ERODED MUD CRAB
6189021501,ROUGH RUBBLE CRAB
8835170101,BIGEYE
8850030302,ATLANTIC MACKEREL
6183060227,BROWN BANDED HERMIT CRAB
6189060405,TUBE PEA CRAB
8850030503,PAINTED MACKEREL
6183120103,GREEN PORCELAIN CRAB
8708020530,SPINNER SHARK
6183160104,BLUE-SPOT HERMIT CRAB
5802010101,HORSESHOE CRAB
8860020103,UNICORN FILEFISH
6185020105,ROUGH SHELLBACK CRAB
8738020201,TARPON
8786010101,GOOSEFISH
8851020403,BLUEFIN DRIFTFISH
6189060701,POLKADOTTED PEA CRAB
8747010101,AMERICAN SHAD
6189060414,UNNAMED PEA CRAB
8803010302,AMERICAN HALFBEAK
8792010605,CRESTED CUSK-EEL
8787020203,SINGLESPOT FROGFISH
8847010603,CODE GOBY
8858030202,LINED SOLE
8805020301,TIDEWATER SILVERSIDE
8803020101,FLAT NEEDLEFISH
8842090307,HAIRY BLENNY
8820020102,BERMUDA DUSKY PIPEFISH
8787040109,LONGNOSE BATFISH
3737040301,CANNONBALL JELLY
6189020501,FLATBACK MUD CRAB
6189070701,GULFWEED CRAB
8713040124,ROSETTE SKATE
8835270202,WHITEFIN SHARKSUCKER
8713030102,ATLANTIC TORPEDO
8787040101,LONGNOSE BATFISH
6183120401,EASTERN TUBE CRAB
8857030202,SMALLMOUTH FLOUNDER
6189011101,INDO-PACIFIC SWIMMING CRAB
8713040116,WINTER SKATE
6191030302,CORONIS SCOLOPENDRA
8861030201,PORCUPINEFISH
8861040101,OCEAN SUNFISH
8851010201,BARRELFISH
8835020401,JEWFISH
8791040101,SILVER HAKE
8747010501,GIZZARD SHAD
8840140301,LANCER STARGAZER
8741130901,SPOTTED SPOON-NOSE EEL
8835440106,SAND SEATROUT
6187020601,CRYPTOPODIA CONCAVA
8741130601,SAILFIN EEL
8713050401,SMOOTH BUTTERFLY RAY
6187020801,SMOOTH ELBOW CRAB
8777020101,white catfish
8835020102,striped bass
8835200201,yellow perch
8776040400,suckers (redhorse)
8747010105,alewife
8835020101,white perch
8747010103,hickory shad
8835160602,largemouth bass
8758010103,chain pickerel
8858010101,hogchoker flounder
8776010101,common carp
8734010101,bowfin
8835160702,black crappie
8776010601,golden shiner
8777020103,yellow bullhead catfish
8777020105,channel catfish
8732010101,longnose gar
8777020102,blue catfish
8835160505,pumpkinseed sunfish
8777020104,Bullhead brown catfish
8776040000,suckers